"Countries","Lat","Long","data","cases","deaths"
"Brazil",-14.235,-51.9253,2020-10-31,5537763,159972
"Brazil",-14.235,-51.9253,2020-11-01,5547951,160175
"Brazil",-14.235,-51.9253,2020-11-02,5556200,160340
"Brazil",-14.235,-51.9253,2020-11-03,5570782,160628
"Brazil",-14.235,-51.9253,2020-11-04,5594098,161246
"Brazil",-14.235,-51.9253,2020-11-05,5617943,161849
"Brazil",-14.235,-51.9253,2020-11-06,5638143,162120
"Brazil",-14.235,-51.9253,2020-11-07,5655887,162348
"Brazil",-14.235,-51.9253,2020-11-08,5666389,162538
"Brazil",-14.235,-51.9253,2020-11-09,5679803,162724
"Brazil",-14.235,-51.9253,2020-11-10,5726227,162922
"Brazil",-14.235,-51.9253,2020-11-11,5752474,163496
"Brazil",-14.235,-51.9253,2020-11-12,5786393,164429
"Brazil",-14.235,-51.9253,2020-11-13,5825111,165005
"Brazil",-14.235,-51.9253,2020-11-14,5851389,165739
"Brazil",-14.235,-51.9253,2020-11-15,5865295,165879
"Brazil",-14.235,-51.9253,2020-11-16,5881039,166136
"Brazil",-14.235,-51.9253,2020-11-17,5916529,166814
"Brazil",-14.235,-51.9253,2020-11-18,5951281,167568
"Brazil",-14.235,-51.9253,2020-11-19,5987143,168218
"Brazil",-14.235,-51.9253,2020-11-20,6025913,168731
"Brazil",-14.235,-51.9253,2020-11-21,6056135,169088
"Brazil",-14.235,-51.9253,2020-11-22,6074061,169266
"Brazil",-14.235,-51.9253,2020-11-23,6092219,169621
"Brazil",-14.235,-51.9253,2020-11-24,6126752,170248
"Brazil",-14.235,-51.9253,2020-11-25,6171380,170871
"Brazil",-14.235,-51.9253,2020-11-26,6212265,171581
"Brazil",-14.235,-51.9253,2020-11-27,6245773,172140
"Brazil",-14.235,-51.9253,2020-11-28,6297258,172684
"Brazil",-14.235,-51.9253,2020-11-29,6318270,172917
"Brazil",-14.235,-51.9253,2020-11-30,6341965,173268
"Brazil",-14.235,-51.9253,2020-12-01,6393950,173953
"Brazil",-14.235,-51.9253,2020-12-02,6442425,174632
"Brazil",-14.235,-51.9253,2020-12-03,6492564,175393
"Brazil",-14.235,-51.9253,2020-12-04,6540235,176071
"Brazil",-14.235,-51.9253,2020-12-05,6580517,176718
"Brazil",-14.235,-51.9253,2020-12-06,6606947,177058
"Brazil",-14.235,-51.9253,2020-12-07,6633971,177483
"Brazil",-14.235,-51.9253,2020-12-08,6681767,178281
"Brazil",-14.235,-51.9253,2020-12-09,6736358,179134
"Brazil",-14.235,-51.9253,2020-12-10,6789908,179903
"Brazil",-14.235,-51.9253,2020-12-11,6842458,180564
"Brazil",-14.235,-51.9253,2020-12-12,6884782,181241
"Brazil",-14.235,-51.9253,2020-12-13,6906811,181536
"Brazil",-14.235,-51.9253,2020-12-14,6934191,182049
"Brazil",-14.235,-51.9253,2020-12-15,6982223,182983
"Brazil",-14.235,-51.9253,2020-12-16,7048347,183924
"Brazil",-14.235,-51.9253,2020-12-17,7117046,184985
"Brazil",-14.235,-51.9253,2020-12-18,7169899,185802
"Brazil",-14.235,-51.9253,2020-12-19,7218141,186461
"Brazil",-14.235,-51.9253,2020-12-20,7242625,186880
"Brazil",-14.235,-51.9253,2020-12-21,7270270,187441
"Brazil",-14.235,-51.9253,2020-12-22,7326935,188410
"Brazil",-14.235,-51.9253,2020-12-23,7372614,189375
"Brazil",-14.235,-51.9253,2020-12-24,7430825,190135
"Brazil",-14.235,-51.9253,2020-12-25,7452008,190617
"Brazil",-14.235,-51.9253,2020-12-26,7469541,190913
"Brazil",-14.235,-51.9253,2020-12-27,7487155,191250
"Brazil",-14.235,-51.9253,2020-12-28,7514592,191788
"Brazil",-14.235,-51.9253,2020-12-29,7570963,192839
"Brazil",-14.235,-51.9253,2020-12-30,7626563,194056
"Brazil",-14.235,-51.9253,2020-12-31,7681032,195072
"Brazil",-14.235,-51.9253,2021-01-01,7703971,195541
"Brazil",-14.235,-51.9253,2021-01-02,7719324,195834
"Brazil",-14.235,-51.9253,2021-01-03,7736514,196145
"Brazil",-14.235,-51.9253,2021-01-04,7761553,196742
"Brazil",-14.235,-51.9253,2021-01-05,7819636,197930
"Brazil",-14.235,-51.9253,2021-01-06,7882143,199161
"Brazil",-14.235,-51.9253,2021-01-07,7970112,200679
"Brazil",-14.235,-51.9253,2021-01-08,8029698,201760
"Brazil",-14.235,-51.9253,2021-01-09,8081091,202769
"Brazil",-14.235,-51.9253,2021-01-10,8110118,203259
"Brazil",-14.235,-51.9253,2021-01-11,8140865,203750
"Brazil",-14.235,-51.9253,2021-01-12,8205289,204875
"Brazil",-14.235,-51.9253,2021-01-13,8265116,206139
"Brazil",-14.235,-51.9253,2021-01-14,8333445,207293
"Brazil",-14.235,-51.9253,2021-01-15,8402542,208428
"Brazil",-14.235,-51.9253,2021-01-16,8460987,209442
"Brazil",-14.235,-51.9253,2021-01-17,8492403,209993
"Brazil",-14.235,-51.9253,2021-01-18,8521336,210469
"Brazil",-14.235,-51.9253,2021-01-19,8583485,211629
"Brazil",-14.235,-51.9253,2021-01-20,8647962,213024
"Brazil",-14.235,-51.9253,2021-01-21,8706912,214371
"Brazil",-14.235,-51.9253,2021-01-22,8763517,215442
"Brazil",-14.235,-51.9253,2021-01-23,8821815,216587
"Brazil",-14.235,-51.9253,2021-01-24,8850334,217182
"Brazil",-14.235,-51.9253,2021-01-25,8880864,217872
"Brazil",-14.235,-51.9253,2021-01-26,8942472,219027
"Brazil",-14.235,-51.9253,2021-01-27,9007244,220363
"Brazil",-14.235,-51.9253,2021-01-28,9068004,221801
"Brazil",-14.235,-51.9253,2021-01-29,9127507,222888
"Brazil",-14.235,-51.9253,2021-01-30,9180621,224080
"Brazil",-14.235,-51.9253,2021-01-31,9208521,224648
"Brazil",-14.235,-51.9253,2021-02-01,9237011,225271
"Brazil",-14.235,-51.9253,2021-02-02,9293289,226532
"Brazil",-14.235,-51.9253,2021-02-03,9347703,227731
"Brazil",-14.235,-51.9253,2021-02-04,9404810,229007
"Brazil",-14.235,-51.9253,2021-02-05,9456500,230258
"Brazil",-14.235,-51.9253,2021-02-06,9502810,231195
"Brazil",-14.235,-51.9253,2021-02-07,9528972,231684
"Brazil",-14.235,-51.9253,2021-02-08,9557558,232405
"Brazil",-14.235,-51.9253,2021-02-09,9608775,233720
"Brazil",-14.235,-51.9253,2021-02-10,9669883,235081
"Brazil",-14.235,-51.9253,2021-02-11,9723487,236523
"Brazil",-14.235,-51.9253,2021-02-12,9772429,237743
"Brazil",-14.235,-51.9253,2021-02-13,9817285,238768
"Brazil",-14.235,-51.9253,2021-02-14,9848008,239421
"Brazil",-14.235,-51.9253,2021-02-15,9873816,240032
"Brazil",-14.235,-51.9253,2021-02-16,9939100,241124
"Brazil",-14.235,-51.9253,2021-02-17,9986325,242313
"Brazil",-14.235,-51.9253,2021-02-18,10039804,243752
"Brazil",-14.235,-51.9253,2021-02-19,10091961,245083
"Brazil",-14.235,-51.9253,2021-02-20,10144332,246114
"Brazil",-14.235,-51.9253,2021-02-21,10173817,246720
